,,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
15,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,951,43,27.8,10.6,9,,3,13,,11,1.64,13,17,-4,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.70,Matches,d7403bd5
16,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,11,411,37,12.0,4.6,5,,1,6,,21,0.91,2,7,-5,-1.09,-0.26,5.4,8.0,-2.5,-0.56,+0.15,Matches,aff418dc
17,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30,2700,90,78.9,30.0,30,90,30,0,,0,1.53,50,53,-3,-0.10,-0.35,35.2,41.5,-6.3,-0.21,-0.61,Matches,65d62814
18,Tosin Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,19,1997,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,c81d773d
19,Aday,es ESP,DF,Girona,es La Liga,29,1987,31,1835,59,53.7,20.4,20,82,13,11,18,4,1.16,29,31,-2,-0.10,+0.30,29.4,27.6,+1.8,+0.09,+0.18,Matches,5890cef1
20,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,2921,86,85.4,32.5,32,90,32,2,21,2,1.26,32,37,-5,-0.15,-0.15,26.4,49.2,-22.8,-0.70,-0.83,Matches,16714a62
21,Raphaël Adiceam,fr FRA,GK,Amiens,fr Ligue 1,27,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,506662d6
22,Claud Adjapong,it ITA,DFFW,Sassuolo,it Serie A,19,1998,16,1220,76,35.7,13.6,14,,12,2,,8,1.31,13,22,-9,-0.66,+0.20,15.9,16.7,-0.8,-0.06,+0.02,Matches,ce5b170a
23,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,1260,90,41.2,14.0,14,,14,0,,2,1.29,16,18,-2,-0.14,+0.46,16.1,20.0,-3.9,-0.28,+0.15,Matches,f71890f5
24,Yacine Adli,fr FRA,FW,Paris S-G,fr Ligue 1,17,2000,1,8,8,0.2,0.1,0,,0,1,8,0,1.00,0,0,0,0.00,-2.08,0.0,0.0,0.0,-0.40,-1.76,Matches,26777636
25,Ali Adnan Kadhim,iq IRQ,DFFW,Udinese,it Serie A,23,1993,23,1674,73,48.9,18.6,18,,14,5,,7,1.17,28,29,-1,-0.05,+0.67,21.3,24.0,-2.6,-0.14,+0.04,Matches,06050480
26,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19,1710,90,50.0,19.0,19,,19,0,,19,1.42,30,29,+1,+0.05,+1.16,19.2,28.4,-9.2,-0.48,0.00,Matches,f76e6b4e
27,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,2152,65,62.9,23.9,21,86,15,12,30,2,1.12,26,24,+2,+0.08,+0.79,29.8,27.4,+2.4,+0.10,+0.31,Matches,293211e1
28,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,166,28,4.9,1.8,1,,0,5,,10,1.00,2,9,-7,-3.80,-3.08,0.9,5.4,-4.4,-2.40,-1.81,Matches,9a8c6673
29,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,17,611,36,17.9,6.8,5,,1,12,,4,1.06,5,12,-7,-1.03,-0.74,6.5,12.7,-6.2,-1.04,-0.60,Matches,b63f4077
30,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,1828,87,53.5,20.3,20,89,19,1,45,4,1.81,28,19,+9,+0.44,+1.52,24.2,24.0,+0.2,+0.01,+1.00,Matches,355c883a
31,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,232,21,6.8,2.6,2,68,1,9,11,5,1.45,5,2,+3,+1.16,+1.05,4.7,2.0,+2.7,+1.04,+1.03,Matches,c84c1afc
32,Juan Agüero,es ESP,MF,Atlético Madrid,es La Liga,18,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,6ee8c05f
33,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,1963,79,57.4,21.8,22,,13,3,,4,2.52,63,12,+51,+2.34,+0.61,45.8,13.1,+32.7,+1.50,+0.13,Matches,4d034881
34,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,31,2459,79,71.9,27.3,27,88,25,4,22,3,1.45,30,20,+10,+0.37,+1.02,32.2,25.4,+6.8,+0.25,+0.55,Matches,3dd738a1
35,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,1153,77,33.7,12.8,14,81,10,1,17,2,0.53,7,17,-10,-0.78,+0.81,10.9,23.1,-12.2,-0.95,-0.16,Matches,8617e3d9
36,Matteo Ahlinvi,bj BEN,MF,Guingamp,fr Ligue 1,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,5ea9ebd4
37,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,3006,86,87.9,33.4,35,86,30,0,,0,1.09,41,58,-17,-0.51,+0.80,41.1,52.3,-11.3,-0.34,+0.01,Matches,48b28bfd
38,Ailton,br BRA,DFMF,Stuttgart,de Bundesliga,22,1995,5,108,22,3.5,1.2,1,,0,4,,7,0.80,1,2,-1,-0.83,-0.86,1.1,0.8,+0.3,+0.26,+0.37,Matches,74ced675
39,Youssef Aït Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,2047,76,59.9,22.7,25,80,16,2,30,0,1.22,17,28,-11,-0.48,+0.43,23.7,26.9,-3.2,-0.14,-0.01,Matches,c46fa34c
40,Rayan Aït Nouri,fr FRA,DFMF,Angers,fr Ligue 1,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,9b398aea
41,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,21,1271,61,37.2,14.1,15,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,12.6,27.4,-14.8,-1.05,-0.67,Matches,f9714604
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,904,82,29.5,10.0,10,,10,1,,4,1.82,15,15,0,0.00,-0.71,17.8,14.6,+3.1,+0.31,-0.55,Matches,89ac64a6
43,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,3353,88,98.0,37.3,37,,36,1,,0,1.16,44,59,-15,-0.40,+0.94,37.9,56.9,-19.0,-0.51,+1.46,Matches,eaeca114
44,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,37,12,1.1,0.4,0,,0,3,12,6,1.67,1,0,+1,+2.43,+2.67,1.0,0.7,+0.4,+0.92,+0.95,Matches,c5eaff5c
45,Chadrac Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,22,1995,22,1102,50,36.0,12.2,13,,1,9,,7,1.45,14,17,-3,-0.25,-0.38,14.5,16.5,-1.9,-0.16,-0.10,Matches,debc2f28
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,1690,77,55.2,18.8,17,,16,5,,3,1.64,42,27,+15,+0.80,+0.60,32.1,23.6,+8.5,+0.45,+0.79,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,1551,67,50.7,17.2,17,,14,6,,0,2.70,51,10,+41,+2.38,+1.01,41.5,13.8,+27.7,+1.60,+0.62,Matches,05439de2
48,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,23,1550,67,50.7,17.2,17,,12,6,,3,1.70,27,21,+6,+0.35,-0.13,32.8,19.8,+13.0,+0.75,+0.42,Matches,834d0be5
49,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,1,61,61,1.8,0.7,1,61,0,0,,2,3.00,0,0,0,0.00,-0.24,0.0,1.0,-0.9,-1.39,-1.64,Matches,7a4cd784
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,33,2744,83,80.2,30.5,30,89,27,3,24,3,2.48,81,21,+60,+1.97,+0.64,70.9,31.7,+39.2,+1.29,+0.97,Matches,4601e194
51,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,20,1748,87,51.1,19.4,19,90,18,1,45,8,0.70,19,34,-15,-0.77,+0.47,27.7,27.6,+0.1,+0.01,+0.40,Matches,348e4809
52,Luis Alberto,es ESP,FWMF,Lazio,it Serie A,24,1992,34,2669,79,78.0,29.7,32,,19,2,,1,1.91,73,41,+32,+1.08,+0.12,51.3,32.6,+18.7,+0.63,+0.49,Matches,5294a83f
53,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,31,2742,88,80.2,30.5,30,,29,1,,5,2.26,58,21,+37,+1.21,-0.25,52.8,21.4,+31.4,+1.03,-0.11,Matches,4bd414c1
54,Miiko Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,26,1990,10,703,70,23.0,7.8,7,,7,3,,10,0.70,10,17,-7,-0.90,-0.78,10.1,14.5,-4.4,-0.57,-0.32,Matches,d459281d
55,Marc Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,34,2538,75,74.2,28.2,30,,19,4,,1,1.29,35,39,-4,-0.14,-0.14,35.6,34.9,+0.7,+0.02,-0.10,Matches,b827d5b3
56,Paco Alcácer,es ESP,MFFW,Barcelona,es La Liga,23,1993,17,695,41,20.3,7.7,8,67,1,9,18,11,2.12,19,3,+16,+2.07,+0.29,20.0,8.1,+11.9,+1.54,+0.56,Matches,a7a9d95a
57,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,8,689,86,20.1,7.7,8,86,7,0,,4,1.25,10,13,-3,-0.39,-0.19,11.6,10.1,+1.5,+0.20,+0.24,Matches,ba71d071
58,Thiago Alcántara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,19,1247,66,40.8,13.9,12,,9,7,,1,2.47,39,10,+29,+2.09,+0.36,33.1,10.2,+22.9,+1.66,+0.61,Matches,77e84962
59,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,208,69,6.1,2.3,2,90,2,1,28,6,2.33,3,2,+1,+0.43,+0.60,3.2,1.8,+1.5,+0.63,+0.57,Matches,9b8970ce
60,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,1178,84,34.4,13.1,13,,13,1,,1,1.93,25,13,+12,+0.92,-0.13,20.7,10.1,+10.6,+0.81,0.00,Matches,f7d50789
61,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,90,90,2.6,1.0,1,90,1,0,,1,0.00,1,7,-6,-6.00,-5.14,1.8,2.5,-0.7,-0.71,-0.54,Matches,a8599c17
62,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,9,628,70,18.4,7.0,8,74,3,1,38,1,1.22,9,12,-3,-0.43,-0.08,7.7,10.5,-2.8,-0.40,+0.12,Matches,46166b49
63,Iván Alejo,es ESP,MFFW,Eibar,es La Liga,22,1995,22,1102,50,32.2,12.2,14,69,1,8,16,6,1.50,16,11,+5,+0.41,+0.84,13.1,13.6,-0.5,-0.04,+0.07,Matches,3d7e48ce
64,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,19,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,6c811eb7
65,Diego Alende,es ESP,DF,Celta Vigo,es La Liga,19,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,9af88279
66,Alex,es ESP,GK,Atlético Madrid,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8c9e7571
67,Alexander,ar ARG,MFFW,Leganés,es La Liga,28,1988,13,1060,82,31.0,11.8,13,82,9,0,,0,1.31,8,12,-4,-0.34,+0.16,13.8,14.7,-0.9,-0.08,+0.18,Matches,3e1858af
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,1573,83,46.0,17.5,18,,14,1,,16,1.89,39,17,+22,+1.26,+0.09,33.8,15.7,+18.1,+1.03,+0.01,Matches,cd1acf9d
69,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,2184,78,63.9,24.3,25,85,23,3,18,7,1.32,26,33,-7,-0.29,-0.07,26.4,37.2,-10.8,-0.45,+0.04,Matches,db0cd1ae
70,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,3330,90,97.4,37.0,37,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,62.2,36.1,+26.2,+0.71,+0.70,Matches,7a2e46a8
71,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,25,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,8870154f
72,Allan,br BRA,MF,Napoli,it Serie A,26,1991,38,2850,75,83.3,31.7,32,,19,6,,0,2.39,62,21,+41,+1.29,+0.19,57.8,21.9,+35.9,+1.13,+0.48,Matches,cc700722
73,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,36,3139,87,91.8,34.9,36,,33,0,,1,0.92,30,55,-25,-0.72,+1.85,33.6,52.2,-18.6,-0.53,+1.87,Matches,9feb8f24
74,Dele Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,36,2958,82,86.5,32.9,34,,18,2,,0,2.03,63,28,+35,+1.06,+0.48,54.1,25.7,+28.5,+0.87,+0.41,Matches,cea4ee8f
75,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,34,2781,82,81.3,30.9,30,88,28,4,39,3,0.91,31,53,-22,-0.71,-0.15,26.1,48.4,-22.3,-0.72,-0.84,Matches,b18a3023
76,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,1,10,10,0.3,0.1,0,,0,1,10,0,3.00,0,0,0,0.00,+0.24,0.4,0.1,+0.3,+2.68,+2.55,Matches,7e28d6f7
77,Marcos Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,33,2855,87,83.5,31.7,33,,28,0,,1,1.85,48,30,+18,+0.57,-0.39,44.0,26.7,+17.3,+0.54,+0.02,Matches,f4290206
78,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,12,267,22,7.8,3.0,2,,0,10,,21,1.83,5,5,0,0.00,+0.11,4.1,4.3,-0.2,-0.06,+0.13,Matches,92a5ac34
79,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,1476,87,43.2,16.4,16,90,16,1,36,21,1.06,22,29,-7,-0.43,-0.70,24.0,24.2,-0.3,-0.02,-0.01,Matches,8875b8c9
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,8,675,84,19.7,7.5,7,90,7,1,45,6,0.88,7,10,-3,-0.40,-0.24,6.7,8.5,-1.9,-0.25,-0.29,Matches,3ecc11d8
81,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,25,2063,83,60.3,22.9,23,87,21,2,27,7,2.60,65,17,+48,+2.09,+0.04,52.2,20.2,+32.1,+1.40,+0.09,Matches,c9e99e49
82,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,30,2405,80,70.3,26.7,30,80,22,0,,0,1.00,29,45,-16,-0.60,+0.29,21.8,40.8,-19.0,-0.71,-0.49,Matches,9260926b
83,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,2,15,8,0.4,0.2,0,,0,2,8,2,1.50,1,0,+1,+6.00,+6.26,0.4,0.1,+0.4,+2.23,+2.24,Matches,12a875ce
84,Morgan Amalfitano,fr FRA,MFFW,Rennes,fr Ligue 1,32,1985,14,746,53,21.8,8.3,10,68,2,4,18,3,0.71,8,16,-8,-0.97,-1.44,8.3,17.2,-8.8,-1.07,-1.38,Matches,ab914649
85,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,33,2703,82,79.0,30.0,31,87,26,2,9,0,1.33,47,55,-8,-0.27,+0.99,32.2,49.1,-16.9,-0.56,+0.10,Matches,d7bf3d19
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,8,487,61,14.2,5.4,6,,4,2,,11,1.13,7,7,0,0.00,+0.12,6.8,6.9,-0.1,-0.02,-0.09,Matches,1a4ef233
87,Jordi Amat,es ESP,DFMF,Betis,es La Liga,25,1992,25,2045,82,59.8,22.7,24,84,16,1,28,9,1.60,33,31,+2,+0.09,+0.28,25.4,27.2,-1.8,-0.08,0.00,Matches,d70a2141
88,Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,37,2859,77,83.6,31.8,36,79,10,1,22,0,1.49,34,24,+10,+0.31,+0.48,37.6,32.1,+5.5,+0.17,-0.30,Matches,f3b1d9a2
