,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
759,Sergio Escudero,es ESP,DF,Sevilla,es La Liga,27,1989,25.9,1651,1306,334,58,2,13,41,275,1,1,0,0,1303,11,35,Matches,b0616e3d
760,Bernardo Espinosa,co COL,DF,Girona,es La Liga,28,1989,31.9,1177,1139,31,30,0,25,1,0,0,0,0,0,960,7,4,Matches,4242011c
761,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3.0,122,86,36,11,0,0,0,0,0,0,0,0,93,0,0,Matches,83e0eeb4
762,Alexander Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,27,1990,6.9,231,224,7,1,0,1,15,2,0,0,0,0,168,0,18,Matches,b48215cd
763,Oghenekaro Etebo,ng NGA,MF,Las Palmas,es La Liga,21,1995,13.5,639,612,22,18,2,13,4,2,2,1,0,0,540,5,6,Matches,b579e83d
764,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,30,1987,12.4,817,686,124,59,2,6,79,4,49,21,25,1,642,7,13,Matches,b037bd4f
765,Xabier Etxeita,es ESP,DF,Athletic Club,es La Liga,29,1987,4.2,161,161,0,0,0,1,0,0,0,0,0,0,136,0,3,Matches,4a895384
766,Jonny Evans,nir NIR,DF,West Brom,eng Premier League,29,1988,25.2,983,922,58,43,0,2,4,15,0,0,0,0,785,3,4,Matches,f8fcd2a5
767,Franck Evina,cm CMR,FW,Bayern Munich,de Bundesliga,17,2000,1.2,34,34,0,0,0,0,3,0,0,0,0,0,26,0,0,Matches,44e471ca
768,Patrice Evra,fr FRA,DFMF,West Ham,eng Premier League,36,1981,2.5,120,97,22,2,1,1,2,20,0,0,0,0,84,1,7,Matches,51a3caf1
769,Patrice Evra,fr FRA,DF,Marseille,fr Ligue 1,36,1981,3.9,178,130,48,4,0,0,6,44,0,0,0,0,127,0,6,Matches,51a3caf1
770,Edu Expósito,es ESP,MFFW,La Coruña,es La Liga,20,1996,1.1,52,52,0,0,0,0,0,0,0,0,0,0,45,0,2,Matches,283c7121
771,Erik Expósito,es ESP,FW,Las Palmas,es La Liga,21,1996,5.2,95,84,8,0,0,0,3,0,0,0,0,0,58,3,2,Matches,07d67579
772,Valentin Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,25,1992,7.8,408,375,30,7,5,7,36,1,22,7,12,0,300,3,13,Matches,ae82fa48
773,Valentin Eysseric,fr FRA,FW,Nice,fr Ligue 1,25,1992,1.0,76,66,10,4,0,3,10,0,6,2,4,0,58,0,2,Matches,ae82fa48
774,Imoh Ezekiel,ng NGA,MFFW,Las Palmas,es La Liga,23,1993,5.2,123,119,4,1,0,0,11,2,0,0,0,0,94,0,8,Matches,9243fea6
775,Marco Fabián,mx MEX,MFFW,Eint Frankfurt,de Bundesliga,28,1989,4.7,187,172,15,5,1,4,12,1,8,2,5,1,158,0,6,Matches,e665a2db
776,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38.0,1276,804,468,110,0,2,0,0,0,0,0,0,752,4,2,Matches,9328b835
777,Fabinho,br BRA,MF,Monaco,fr Ligue 1,23,1993,34.0,2003,1940,55,50,8,18,10,5,0,0,0,0,1715,8,18,Matches,7f3b388c
778,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,30,1987,25.6,2351,2075,259,102,22,11,140,4,151,26,53,6,1873,17,38,Matches,33508c78
779,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,33.5,955,622,328,92,0,1,0,0,0,0,0,0,646,5,1,Matches,1e43fad8
780,Fayçal Fajr,ma MAR,MFFW,Getafe,es La Liga,28,1988,26.5,1068,907,150,84,3,61,121,3,55,15,20,1,738,11,22,Matches,79135368
781,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,31,1986,23.7,563,507,54,0,1,0,8,1,0,0,0,0,438,2,12,Matches,66116290
782,Diego Falcinelli,it ITA,FW,Fiorentina,it Serie A,26,1991,4.9,116,113,3,0,0,0,6,1,0,0,0,0,84,0,2,Matches,a39b9ef6
783,Diego Falcinelli,it ITA,FW,Sassuolo,it Serie A,26,1991,14.6,237,205,30,4,0,2,9,1,0,0,0,0,157,2,12,Matches,a39b9ef6
784,Simon Falette,gn GUI,DF,Metz,fr Ligue 1,25,1992,1.0,67,62,5,3,0,4,0,2,0,0,0,0,62,0,0,Matches,b82880c6
785,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,25,1992,24.6,1244,1178,60,55,0,21,10,5,0,0,0,0,940,6,20,Matches,b82880c6
786,Cesar Falletti,uy URU,MFFW,Bologna,it Serie A,24,1992,3.6,177,163,11,2,0,4,11,5,4,1,2,0,136,3,8,Matches,00823e9a
787,Iago Falque,es ESP,FWMF,Torino,it Serie A,27,1990,31.3,1384,1264,117,31,9,25,123,15,47,21,7,2,1043,3,53,Matches,440c84ed
788,Paolo Faragò,it ITA,DF,Cagliari,it Serie A,24,1993,27.3,1308,978,316,17,2,5,120,296,3,0,1,0,850,14,44,Matches,9085dd7c
789,Imad Faraj,ma MAR,MFDF,Lille,fr Ligue 1,18,1999,1.8,81,71,10,0,0,0,7,10,0,0,0,0,60,0,2,Matches,b396a0b1
790,Davide Faraoni,it ITA,DFMF,Crotone,it Serie A,25,1991,19.5,932,721,203,40,0,9,54,160,3,3,0,0,638,8,33,Matches,aae9d04a
791,Mohamed Fares,dz ALG,DFMF,Hellas Verona,it Serie A,21,1996,28.9,1177,1000,168,17,2,13,81,147,2,0,1,0,784,9,39,Matches,b7a5bc86
792,Diego Farias,br BRA,FWMF,Cagliari,it Serie A,27,1990,17.9,564,521,39,3,3,1,35,21,12,8,0,0,442,4,20,Matches,157d29b6
793,Federico Fazio,ar ARG,DF,Roma,it Serie A,30,1987,32.5,1996,1920,73,70,1,17,5,3,0,0,0,0,1680,3,12,Matches,4e358a2d
794,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,28,1989,14.0,825,780,42,35,0,25,3,7,0,0,0,0,668,3,5,Matches,89151b16
795,Nabil Fekir,fr FRA,MFFW,Lyon,fr Ligue 1,24,1993,27.5,1253,1089,155,49,8,6,99,9,66,41,18,0,1016,9,19,Matches,bece776f
796,Felipe,br BRA,DF,Hannover 96,de Bundesliga,30,1987,5.1,275,261,13,13,0,2,4,0,0,0,0,0,208,1,3,Matches,de164de6
797,Luiz Felipe,it ITA,DF,Lazio,it Serie A,20,1997,13.0,692,659,31,14,1,3,2,17,0,0,0,0,608,2,3,Matches,15d0c248
798,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,19,1997,17.3,924,874,48,44,0,7,1,4,0,0,0,0,793,2,12,Matches,677da306
799,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,29,1987,7.6,398,393,4,3,0,1,3,1,0,0,0,0,336,1,1,Matches,87575fd9
800,Kiko Femenía,es ESP,DFFW,Watford,eng Premier League,26,1991,19.0,1004,849,154,4,1,5,60,149,1,0,0,0,807,1,27,Matches,e5d01ecf
801,Leroy Fer,nl NED,MF,Swansea City,eng Premier League,27,1990,15.5,643,627,15,11,3,10,8,2,0,0,0,0,515,1,9,Matches,3cefa66a
802,Julien Féret,fr FRA,MF,Caen,fr Ligue 1,35,1982,34.0,1722,1548,162,63,6,28,129,7,74,24,45,2,1308,12,23,Matches,ac62861c
803,Edimilson Fernandes,ch SUI,MFDF,West Ham,eng Premier League,21,1996,9.4,288,275,11,0,0,8,7,11,0,0,0,0,222,2,9,Matches,3bb625ac
804,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,30,1986,11.5,331,325,5,3,0,0,0,2,0,0,0,0,269,1,9,Matches,8e58987d
805,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,2.5,70,36,33,6,0,0,0,0,0,0,0,0,44,1,0,Matches,307fcd26
806,Augusto Fernández,ar ARG,MF,Atlético Madrid,es La Liga,31,1986,1.2,73,68,3,2,0,0,0,0,0,0,0,0,58,2,1,Matches,78c40e94
807,Brian Fernández,ar ARG,FW,Metz,fr Ligue 1,22,1994,1.4,29,16,12,0,0,0,3,4,2,1,0,0,21,1,1,Matches,857e2586
808,Carlos Fernández,es ESP,FW,Sevilla,es La Liga,21,1996,1.5,36,33,3,0,0,0,0,0,0,0,0,0,28,0,0,Matches,e08647d6
809,Enzo Fernández,es ESP,MF,Alavés,es La Liga,22,1995,0.8,30,30,0,0,0,0,0,0,0,0,0,0,17,0,1,Matches,4cafb146
810,Federico Fernández,ar ARG,DF,Swansea City,eng Premier League,28,1989,29.7,1218,1174,44,40,0,10,4,4,0,0,0,0,1001,0,8,Matches,f25b010f
811,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11.0,325,170,153,58,0,0,0,0,0,0,0,0,174,2,1,Matches,6fb59070
812,Fernandinho,br BRA,MF,Manchester City,eng Premier League,32,1985,32.0,2999,2926,65,57,18,15,9,7,1,0,0,0,2686,8,29,Matches,101da2b5
813,Alex Ferrari,it ITA,DF,Hellas Verona,it Serie A,23,1994,23.7,1026,834,189,37,0,7,18,152,0,0,0,0,759,3,34,Matches,d0dbca9f
814,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,25,1992,7.1,546,533,12,7,4,6,5,4,1,0,0,0,480,1,7,Matches,375622c5
815,Sam Field,eng ENG,MF,West Brom,eng Premier League,19,1998,6.0,177,169,6,3,0,3,8,1,2,1,1,0,128,2,3,Matches,bd8a7d05
816,Afonso Figueiredo,pt POR,DFFW,Rennes,fr Ligue 1,24,1993,2.5,129,99,29,6,0,1,4,23,0,0,0,0,91,1,2,Matches,f51edbf3
817,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,it Serie A,19,1997,3.1,83,69,14,1,0,0,8,9,3,0,2,0,61,0,6,Matches,ff219f73
818,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,28,1989,20.2,453,396,54,1,1,0,4,6,2,0,0,0,321,3,20,Matches,f9e7c4ac
819,Roberto Firmino,br BRA,FW,Liverpool,eng Premier League,25,1991,30.7,1233,1180,48,5,17,0,43,16,1,1,0,0,869,5,52,Matches,4c370d81
820,Junior Firpo,es ESP,DF,Betis,es La Liga,20,1996,13.2,652,561,89,16,0,2,13,73,0,0,0,0,539,2,9,Matches,24f59bb2
821,Viktor Fischer,dk DEN,FWMF,Mainz 05,de Bundesliga,23,1994,3.7,108,104,4,1,0,2,5,0,3,0,1,0,81,0,6,Matches,b5920350
822,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,33,1984,5.3,148,145,1,1,0,0,3,0,0,0,0,0,98,2,3,Matches,148d4105
823,Darren Fletcher,sct SCO,MF,Stoke City,eng Premier League,33,1984,24.7,1105,1042,59,23,6,19,49,4,26,18,8,0,843,4,20,Matches,184e4970
824,Sergio Floccari,it ITA,FW,SPAL,it Serie A,35,1981,9.8,262,249,12,3,1,4,10,1,0,0,0,0,188,1,11,Matches,df301450
825,Alessandro Florenzi,it ITA,DF,Roma,it Serie A,26,1991,26.5,1802,1493,302,42,1,20,144,245,15,0,11,0,1379,7,43,Matches,e288d4b3
826,Phil Foden,eng ENG,MFFW,Manchester City,eng Premier League,17,2000,0.5,48,46,2,0,0,0,4,0,2,0,1,0,41,0,1,Matches,ed1e53f3
827,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,24,1992,8.3,246,244,1,1,1,2,7,0,0,0,0,0,177,1,2,Matches,9dafff2a
828,Seko Fofana,ci CIV,MF,Udinese,it Serie A,22,1995,20.8,911,900,8,5,1,12,9,3,0,0,0,0,758,3,13,Matches,5313ed43
829,Andreu Fontàs,es ESP,DF,Celta Vigo,es La Liga,27,1989,9.8,729,694,33,27,1,4,0,6,0,0,0,0,642,2,1,Matches,0f138d5a
830,José Fonte,pt POR,DF,West Ham,eng Premier League,33,1983,7.6,355,336,19,14,0,4,3,5,0,0,0,0,287,0,4,Matches,90f87966
831,Pablo Fornals,es ESP,MFFW,Villarreal,es La Liga,21,1996,29.1,1373,1339,21,6,17,19,30,4,9,3,4,0,1047,13,43,Matches,82927de4
832,Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,25,1991,15.2,639,530,104,30,9,2,87,9,64,30,27,1,464,5,22,Matches,9a2e0ccc
833,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20.0,510,313,193,47,0,0,0,0,0,0,0,0,253,4,1,Matches,c3e39f12
834,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,25,1992,1.7,79,77,2,2,0,0,0,0,0,0,0,0,64,0,0,Matches,574aa9ec
835,Marco Fossati,it ITA,MF,Hellas Verona,it Serie A,24,1992,12.2,708,649,54,31,2,17,15,6,8,5,2,0,580,5,11,Matches,39bec070
836,Iver Fossum,no NOR,MF,Hannover 96,de Bundesliga,21,1996,14.5,682,659,21,10,0,3,30,3,7,2,5,0,520,2,27,Matches,ce218223
837,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37.0,1155,657,492,154,0,1,0,0,0,0,0,0,565,6,0,Matches,d0b3ceb9
838,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,eng Premier League,19,1998,17.7,746,621,122,8,0,4,17,114,0,0,0,0,536,3,13,Matches,a9142dc3
839,Dimitri Foulquier,fr FRA,DF,Strasbourg,fr Ligue 1,24,1993,13.8,678,526,151,8,0,3,25,143,0,0,0,0,532,1,24,Matches,45e17712
840,Lilian Fournier,fr FRA,FW,Metz,fr Ligue 1,19,1998,0.2,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,5aca2a18
841,Raphael Framberger,de GER,DF,Augsburg,de Bundesliga,21,1995,7.7,372,272,100,4,0,0,36,96,0,0,0,0,260,0,16,Matches,626fab5f
842,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,32,1985,30.1,1864,1617,243,65,1,28,78,176,2,0,1,0,1347,4,36,Matches,1e0b6a73
843,Mike Frantz,de GER,MF,Freiburg,de Bundesliga,30,1986,11.6,248,238,10,9,2,0,12,1,0,0,0,0,172,0,6,Matches,482b70ad
844,Ryan Fraser,sct SCO,MFDF,Bournemouth,eng Premier League,23,1994,22.3,1005,866,134,29,3,2,138,46,59,27,22,0,694,5,39,Matches,d56543a0
845,Fabian Frei,ch SUI,MF,Mainz 05,de Bundesliga,28,1989,8.9,428,407,20,17,0,2,1,1,0,0,0,0,348,1,8,Matches,9fb640a8
846,Remo Freuler,ch SUI,MF,Atalanta,it Serie A,25,1992,33.4,2252,2135,103,63,2,15,44,23,17,1,12,1,1945,14,25,Matches,98d2c2c4
847,Marco Friedl,at AUT,MF,Bayern Munich,de Bundesliga,19,1998,0.5,52,47,5,1,0,0,6,4,0,0,0,0,45,0,1,Matches,f86ad3f5
848,Marco Friedl,at AUT,DFMF,Werder Bremen,de Bundesliga,19,1998,6.7,369,287,80,10,0,2,12,70,0,0,0,0,287,2,13,Matches,f86ad3f5
849,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,31,1986,21.3,1226,939,279,14,1,8,71,251,13,1,6,0,842,8,36,Matches,a67a09fb
850,Javi Fuego,es ESP,MF,Villarreal,es La Liga,33,1984,6.0,334,321,10,10,0,6,1,0,0,0,0,0,261,3,7,Matches,2e8fc160
851,Javi Fuego,es ESP,MF,Espanyol,es La Liga,33,1984,14.9,625,601,21,21,1,3,0,0,0,0,0,0,492,3,11,Matches,2e8fc160
852,Chris Führich,de GER,MF,Köln,de Bundesliga,19,1998,1.1,30,29,1,0,0,0,0,1,0,0,0,0,24,0,1,Matches,0cf778df
853,Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,20,1996,17.0,734,665,66,23,12,5,57,8,30,20,7,0,539,3,23,Matches,4b96c347
854,Niclas Füllkrug,de GER,FW,Hannover 96,de Bundesliga,24,1993,26.5,768,714,53,0,0,3,17,1,0,0,0,0,476,1,35,Matches,4f16405e
855,Jay Fulton,sct SCO,MF,Swansea City,eng Premier League,23,1994,0.2,8,8,0,0,0,0,0,0,0,0,0,0,5,0,1,Matches,434ad289
856,Ramiro Funes Mori,ar ARG,DF,Everton,eng Premier League,26,1991,1.3,55,53,2,1,0,0,0,1,0,0,0,0,43,0,2,Matches,89cbc961
857,Manolo Gabbiadini,it ITA,FW,Southampton,eng Premier League,25,1991,12.0,228,206,22,0,1,1,5,0,0,0,0,0,158,0,10,Matches,8f866fe8
858,Gabi,es ESP,MF,Atlético Madrid,es La Liga,34,1983,26.1,1779,1637,133,100,4,17,45,4,29,2,23,2,1484,9,26,Matches,65d750b5
859,Gabriel,br BRA,MF,Leganés,es La Liga,23,1993,26.4,1196,1159,28,25,6,30,14,3,0,0,0,0,792,9,30,Matches,0d10333c
860,Mijat Gaćinović,rs SRB,MFFW,Eint Frankfurt,de Bundesliga,22,1995,20.2,633,597,30,16,3,4,38,2,12,3,9,0,435,6,33,Matches,16daec92
861,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,23,1994,22.1,1473,1428,35,32,4,9,13,3,0,0,0,0,1238,10,18,Matches,ce30bfc8
862,Nicolás Gaitán,ar ARG,MFFW,Atlético Madrid,es La Liga,29,1988,2.4,104,95,8,2,0,1,9,1,5,1,4,0,75,1,3,Matches,7ebfac0f
863,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,21,1996,4.0,199,142,55,2,0,0,7,53,0,0,0,0,145,2,11,Matches,9f6325f9
864,Serge Gakpé,tg TOG,FWMF,Amiens,fr Ligue 1,30,1987,20.3,508,500,8,2,1,2,27,4,2,0,2,0,348,0,23,Matches,cf4053e2
865,Andrey Galabinov,bg BUL,FW,Genoa,it Serie A,28,1988,12.5,363,351,11,0,2,3,7,1,0,0,0,0,232,1,15,Matches,0a1efd3c
866,Álex Gálvez,es ESP,DF,Las Palmas,es La Liga,28,1989,18.0,952,877,74,69,0,22,2,5,0,0,0,0,770,1,10,Matches,960fb42d
867,Álex Gálvez,es ESP,DF,Eibar,es La Liga,28,1989,4.0,208,192,16,11,0,3,0,5,0,0,0,0,161,0,2,Matches,960fb42d
868,Bruno Gama,pt POR,FWMF,La Coruña,es La Liga,29,1987,1.3,42,40,2,0,0,0,5,0,2,2,0,0,31,0,1,Matches,6cffc9df
869,Alessandro Gamberini,it ITA,DF,Chievo,it Serie A,35,1981,20.2,687,663,22,13,0,2,0,9,0,0,0,0,591,2,2,Matches,8ec95452
870,Kévin Gameiro,fr FRA,FW,Atlético Madrid,es La Liga,30,1987,12.5,234,221,13,0,0,0,2,2,0,0,0,0,182,0,8,Matches,42276181
871,Jesús Gámez,es ESP,DF,Newcastle Utd,eng Premier League,32,1985,1.1,61,50,11,0,0,0,5,11,0,0,0,0,47,0,3,Matches,bd1d1cbb
872,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,27,1989,30.6,1593,1556,29,18,1,9,11,8,0,0,0,0,1338,8,24,Matches,72c812f3
873,Ignatius Ganago,cm CMR,FWMF,Nice,fr Ligue 1,18,1999,0.8,19,19,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches,23c63b7f
874,Najib Gandi,fr FRA,FWMF,Nantes,fr Ligue 1,23,1994,1.1,37,35,2,1,0,0,1,0,1,1,0,0,29,0,2,Matches,56b52c4e
875,Ganso,br BRA,MF,Sevilla,es La Liga,27,1989,5.8,353,328,21,13,2,5,5,3,4,2,1,0,287,4,6,Matches,23593121
876,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,30,1986,22.5,1098,1050,47,46,1,10,3,1,0,0,0,0,939,1,6,Matches,ac3fb1be
877,Aleix García,es ESP,MF,Girona,es La Liga,20,1997,9.5,571,500,67,31,0,27,39,1,35,7,16,4,459,4,6,Matches,a10361d2
878,Borja García,es ESP,MF,Girona,es La Liga,26,1990,31.1,1427,1337,80,30,12,29,94,8,42,6,20,2,1162,10,23,Matches,e7f4603c
879,Dani García,es ESP,MF,Eibar,es La Liga,27,1990,30.8,1636,1577,55,46,0,39,12,6,1,0,0,0,1312,4,15,Matches,240d3a0b
880,David García,es ESP,DF,Las Palmas,es La Liga,35,1982,9.6,477,439,37,23,0,6,3,14,0,0,0,0,383,1,3,Matches,1250086e
881,Javi García,es ESP,MFDF,Betis,es La Liga,30,1987,26.8,1677,1638,39,37,0,10,0,2,0,0,0,0,1540,0,5,Matches,167c1bb0
882,Manu García,es ESP,MF,Alavés,es La Liga,31,1986,27.1,1013,984,21,12,2,10,12,9,0,0,0,0,731,8,28,Matches,05a4465d
883,Raúl García,es ESP,MFFW,Athletic Club,es La Liga,31,1986,29.2,901,877,9,3,9,7,40,0,0,0,0,0,498,15,43,Matches,b418dbd4
884,Raúl García,es ESP,DF,Leganés,es La Liga,28,1989,15.5,682,482,196,51,1,4,74,128,17,9,7,0,455,4,24,Matches,1a317a1b
885,Samu García,es ESP,MF,Málaga,es La Liga,27,1990,2.0,48,47,0,0,0,1,8,0,0,0,0,0,29,1,2,Matches,5f7db81a
886,Samu García,es ESP,FWMF,Levante,es La Liga,27,1990,2.1,70,66,0,0,1,0,4,0,0,0,0,0,40,4,7,Matches,5f7db81a
887,Sergio García,es ESP,FWMF,Espanyol,es La Liga,34,1983,18.2,455,427,25,2,1,3,19,6,0,0,0,0,323,3,19,Matches,2bee98fd
888,Ulisses Garcia,ch SUI,FW,Werder Bremen,de Bundesliga,21,1996,1.0,32,20,12,2,0,0,0,10,0,0,0,0,23,0,0,Matches,c952f633
889,Luca Garritano,it ITA,MFFW,Chievo,it Serie A,23,1994,2.1,89,82,7,1,0,3,14,2,4,3,1,0,60,0,5,Matches,1ceeae3e
890,Bruno Gaspar,ao ANG,DF,Fiorentina,it Serie A,24,1993,8.7,580,467,113,7,0,1,36,106,0,0,0,0,469,0,18,Matches,55ae91f0
891,Mario Gaspar,es ESP,DF,Villarreal,es La Liga,26,1990,31.2,1817,1457,353,45,1,8,60,308,0,0,0,0,1406,7,45,Matches,fb5d47b3
892,Gianluca Gaudino,de GER,MF,Chievo,it Serie A,20,1996,0.2,12,8,4,2,0,0,2,0,1,0,1,0,9,0,0,Matches,0d72fbca
893,Dwight Gayle,eng ENG,FW,Newcastle Utd,eng Premier League,26,1990,21.8,444,413,30,0,4,3,5,5,0,0,0,0,319,1,4,Matches,e58a03c6
894,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1.0,25,16,9,1,0,0,0,0,0,0,0,0,20,0,0,Matches,63d17038
895,Marcello Gazzola,it ITA,DF,Sassuolo,it Serie A,32,1985,8.2,467,353,114,1,0,1,33,112,1,1,0,0,340,0,17,Matches,93390969
896,Jean-Philippe Gbamin,ci CIV,MFDF,Mainz 05,de Bundesliga,21,1995,28.8,1179,1137,40,38,1,30,6,2,0,0,0,0,921,2,30,Matches,6bd603db
897,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37.0,1092,698,391,101,0,1,0,0,0,0,0,0,686,3,0,Matches,7ba6d84e
898,Theodor Gebre Selassie,cz CZE,DFFW,Werder Bremen,de Bundesliga,30,1986,31.4,1437,1109,327,15,0,5,26,312,0,0,0,0,1124,1,36,Matches,3f65898c
899,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,19,1998,17.6,822,778,44,28,1,3,26,1,15,7,7,0,707,0,11,Matches,37f606f0
900,Johannes Geis,de GER,DFMF,Sevilla,es La Liga,23,1993,7.5,379,356,21,17,0,9,9,3,1,1,0,0,316,2,1,Matches,294450ba
901,Jérémy Gélin,fr FRA,DFMF,Rennes,fr Ligue 1,20,1997,25.7,1391,1347,40,38,3,33,3,2,0,0,0,0,1164,4,11,Matches,4c700f46
902,Romain Genevois,ht HAI,DF,Caen,fr Ligue 1,29,1987,20.1,810,725,84,17,0,13,47,64,2,0,0,0,577,1,26,Matches,1040e783
903,Santiago Gentiletti,ar ARG,DF,Genoa,it Serie A,32,1985,3.2,242,224,18,2,0,2,2,16,0,0,0,0,217,0,0,Matches,4ac07e1b
904,Christian Gentner,de GER,MF,Stuttgart,de Bundesliga,31,1985,26.8,1255,1211,39,22,0,1,52,17,0,0,0,0,881,5,40,Matches,a4f94a0d
905,Yannick Gerhardt,de GER,DFMF,Wolfsburg,de Bundesliga,23,1994,13.6,647,562,80,7,0,6,24,73,0,0,0,0,489,5,22,Matches,62ab9184
906,Valère Germain,fr FRA,FW,Marseille,fr Ligue 1,27,1990,24.1,542,497,42,1,7,2,26,9,0,0,0,0,394,3,10,Matches,ea0ff634
907,Gerson,br BRA,MFFW,Roma,it Serie A,20,1997,10.1,529,519,9,5,0,3,5,4,0,0,0,0,464,1,6,Matches,8827bf46
908,Willem Geubbels,fr FRA,FWMF,Lyon,fr Ligue 1,15,2001,0.4,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,9836e892
909,Yassine El Ghanassy,be BEL,MFFW,Nantes,fr Ligue 1,27,1990,7.2,293,280,10,4,2,0,25,2,4,1,2,0,230,3,6,Matches,0049d544
910,Anwar El Ghazi,nl NED,FWMF,Lille,fr Ligue 1,22,1995,18.3,645,561,79,11,1,3,103,25,42,19,16,0,440,5,34,Matches,ffa90327
911,Rachid Ghezzal,dz ALG,FWMF,Monaco,fr Ligue 1,25,1992,11.2,568,522,42,12,7,6,53,5,25,16,4,0,402,4,19,Matches,dc3a9a0d
912,Faouzi Ghoulam,dz ALG,DF,Napoli,it Serie A,26,1991,10.9,984,848,135,13,3,3,64,90,32,16,8,0,838,1,19,Matches,c5adc293
913,Emanuele Giaccherini,it ITA,MFFW,Chievo,it Serie A,32,1985,10.0,430,398,31,17,0,6,37,0,12,9,2,0,311,1,19,Matches,1c50f354
914,Emanuele Giaccherini,it ITA,FWMF,Napoli,it Serie A,32,1985,0.7,54,54,0,0,0,0,2,0,0,0,0,0,46,0,1,Matches,1c50f354
915,Niccolò Giannetti,it ITA,FWDF,Cagliari,it Serie A,26,1991,3.3,63,61,2,0,0,0,3,1,0,0,0,0,43,0,1,Matches,d9e750e5
916,Kieran Gibbs,eng ENG,DF,West Brom,eng Premier League,27,1989,31.4,1391,1077,304,7,0,3,74,293,4,4,0,0,1000,10,23,Matches,46ee5234
917,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,1.7,75,46,29,6,0,0,0,0,0,0,0,0,43,0,1,Matches,17376543
918,Carles Gil,es ESP,FWMF,La Coruña,es La Liga,24,1992,5.3,222,208,14,6,1,0,9,1,7,1,4,0,189,0,5,Matches,11c30a46
919,Nacho Gil,es ESP,FWMF,Las Palmas,es La Liga,21,1995,8.1,296,255,41,7,0,0,35,5,29,17,10,0,223,0,9,Matches,87ec1a2a
920,Nacho Gil,es ESP,MF,Valencia,es La Liga,21,1995,2.5,90,79,10,2,0,0,11,1,7,2,4,1,68,1,5,Matches,87ec1a2a
921,Guillaume Gillet,be BEL,MF,Nantes,fr Ligue 1,33,1984,0.2,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches,3f944dad
922,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,3.4,114,83,31,11,0,0,0,0,0,0,0,0,76,0,0,Matches,7c218bf9
923,Daniel Ginczek,de GER,FW,Stuttgart,de Bundesliga,26,1991,16.9,344,328,12,1,1,2,6,1,0,0,0,0,206,4,15,Matches,e5f63987
924,Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,23,1994,34.0,2064,1998,60,50,0,23,3,10,0,0,0,0,1792,6,16,Matches,f521b80a
925,Jimmy Giraudon,fr FRA,DF,Troyes,fr Ligue 1,25,1992,23.2,996,936,59,55,1,11,1,4,0,0,0,0,789,1,9,Matches,6ba71da5
